,dvfs,flops,kernel_runtime
0,510,6978.71,3505.1156666666666
1,525,7178.643333333333,3407.491666666667
2,540,7372.97,3317.683333333333
3,555,7568.576666666667,3231.9393333333333
4,570,7763.45,3150.8143333333333
5,585,7955.996666666666,3074.5586666666663
6,600,8147.759999999999,3002.1973333333335
7,615,8338.0,2933.699
8,630,8528.08,2868.3103333333333
9,645,8803.653333333334,2778.540333333333
10,660,9080.086666666668,2693.9363333333336
11,675,9287.83,2633.6800000000003
12,690,9493.846666666666,2576.5303333333336
13,705,9704.316666666668,2520.65
14,720,9916.963333333333,2466.5996666666665
15,735,10122.16,2416.5963333333334
16,750,10333.563333333334,2367.158
17,765,10539.036666666667,2321.0066666666667
18,780,10750.11,2275.4353333333333
19,795,10956.766666666668,2232.518666666667
20,810,11163.5,2191.1746666666663
21,825,11370.153333333334,2151.3503333333333
22,840,11576.9,2112.929666666667
23,855,11783.543333333333,2075.8766666666666
24,870,11990.230000000001,2040.0926666666667
25,885,12197.0,2005.5076666666666
26,900,12403.64,1972.0966666666666
27,915,12610.283333333333,1939.7806666666668
28,930,12816.843333333332,1908.5186666666668
29,945,13023.586666666668,1878.2216666666666
30,960,13230.196666666665,1848.89
31,975,13436.856666666667,1820.454
32,990,13643.493333333332,1792.8823333333332
33,1005,13850.123333333335,1766.1346666666668
34,1020,14056.706666666665,1740.1783333333333
35,1035,14263.4,1714.9613333333334
36,1050,14470.066666666666,1690.4673333333333
37,1065,14676.666666666666,1666.6713333333335
38,1080,14883.056666666665,1643.5583333333334
39,1095,15083.07,1621.7643333333333
40,1110,15232.306666666665,1605.8753333333334
41,1125,15409.533333333333,1587.4053333333334
42,1140,15620.0,1566.017
43,1155,15821.083333333334,1546.113
44,1170,16024.646666666667,1526.4723333333332
45,1185,16225.686666666666,1507.559
46,1200,16419.73,1489.743333333333
47,1215,16661.736666666668,1468.1066666666666
48,1230,16838.539999999997,1452.6899999999998
49,1245,17045.946666666667,1435.0146666666667
50,1260,17252.456666666665,1417.8376666666666
51,1275,17483.456666666665,1399.1043333333334
52,1290,17665.203333333335,1384.7096666666666
53,1305,17877.983333333334,1368.229
54,1320,18084.966666666664,1352.57
55,1335,18291.683333333334,1337.2843333333333
56,1350,18543.713333333333,1319.1090000000002
57,1365,18747.043333333335,1304.802
58,1380,18945.466666666664,1291.1363333333334
59,1395,19141.33,1277.925
60,1410,19295.550000000003,1267.711
